PartitionKey,RowKey,test_type,test_type@type,protocol,protocol@type,latency_total,latency_total@type,latency_mean,latency_mean@type,latency_max,latency_max@type,latency_min,latency_min@type,throughput,throughput@type,success,success@type,server,server@type,sent_throughput,sent_throughput@type,received_throughput,received_throughput@type,max_rtt,max_rtt@type,min_rtt,min_rtt@type,mean_rtt,mean_rtt@type,duration,duration@type
10.2.0.13,01 27 2022 16 00 00,iperf3,String,,,,,,,,,,,,,,,10.1.0.25,String,1806178125,String,1801831755,String,111478,Int32,36357,Int32,66492,Int32,5,Int64
10.2.0.13,01 27 2022 16 05 00,iperf3,String,,,,,,,,,,,,,,,10.1.0.25,String,1883803787,String,1879029526,String,150095,Int32,22608,Int32,73151,Int32,5,Int64
10.2.0.13,01 27 2022 16 10 00,iperf3,String,,,,,,,,,,,,,,,10.1.0.25,String,1754173408,String,1749977728,String,261191,Int32,29370,Int32,82041,Int32,5,Int64
10.2.0.13,01 27 2022 16 15 00,iperf3,String,,,,,,,,,,,,,,,10.1.0.25,String,1853328952,String,1848675739,String,87109,Int32,7413,Int32,47366,Int32,5,Int64
10.2.0.13,01 27 2022 16 20 00,iperf3,String,,,,,,,,,,,,,,,10.1.0.25,String,1827620642,String,1822749935,String,167557,Int32,30312,Int32,82509,Int32,5,Int64
10.2.0.13,01 27 2022 16 25 00,iperf3,String,,,,,,,,,,,,,,,10.1.0.25,String,1801645993,String,1797407839,String,174686,Int32,39613,Int32,130691,Int32,5,Int64
10.2.0.13,01 27 2022 16 30 00,iperf3,String,,,,,,,,,,,,,,,10.1.0.25,String,1891147663,String,1886057287,String,72616,Int32,23154,Int32,35081,Int32,5,Int64
10.2.0.13,01 27 2022 16 35 00,iperf3,String,,,,,,,,,,,,,,,10.1.0.25,String,2311075688,String,2306040589,String,114152,Int32,4597,Int32,81999,Int32,5,Int64
10.2.0.13,01 27 2022 16 40 00,iperf3,String,,,,,,,,,,,,,,,10.1.0.25,String,1766052679,String,1761402602,String,163052,Int32,53719,Int32,120057,Int32,5,Int64
10.2.0.13,01 27 2022 16 45 00,iperf3,String,,,,,,,,,,,,,,,10.1.0.25,String,2103125508,String,2098534505,String,325450,Int32,26221,Int32,127819,Int32,5,Int64
10.2.0.13,01 27 2022 16 50 00,iperf3,String,,,,,,,,,,,,,,,10.1.0.25,String,2002504243,String,1997694095,String,145110,Int32,5077,Int32,77225,Int32,5,Int64
10.2.0.14,01 27 2022 16 00 00,iperf3,String,,,,,,,,,,,,,,,10.1.0.17,String,1673544012,String,1669108292,String,114017,Int32,8320,Int32,64548,Int32,5,Int64
10.2.0.14,01 27 2022 16 05 00,iperf3,String,,,,,,,,,,,,,,,10.1.0.17,String,1726007142,String,1721606365,String,76309,Int32,28487,Int32,62153,Int32,5,Int64
