PartitionKey,RowKey,test_type,test_type@type,protocol,protocol@type,latency_total,latency_total@type,latency_mean,latency_mean@type,latency_max,latency_max@type,latency_min,latency_min@type,throughput,throughput@type,success,success@type,server,server@type
10.2.0.10,01 27 2022 13 55 00,vegeta,String,http,String,242247669.7,Double,20187.30581,Double,30024.99628,Double,63.037303,Double,28.84713379,String,0.638916667,String,10.1.0.89,String
10.2.0.10,01 27 2022 14 00 00,vegeta,String,http,String,159943573.3,Double,13328.63111,Double,30013.50632,Double,56.903958,Double,36.23428616,String,0.789666667,String,10.1.0.89,String
10.2.0.100,01 27 2022 13 55 00,vegeta,String,http,String,245430364.4,Double,20452.53037,Double,30034.77627,Double,81.577396,Double,29.22192595,String,0.645416667,String,10.1.0.132,String
10.2.0.100,01 27 2022 14 00 00,vegeta,String,http,String,172053936.8,Double,14337.82806,Double,30009.41831,Double,54.848107,Double,36.34285965,String,0.787583333,String,10.1.0.132,String
10.2.0.101,01 27 2022 13 55 00,vegeta,String,http,String,237973130.9,Double,19831.09424,Double,30034.09177,Double,56.648568,Double,30.51698866,String,0.672833333,String,10.1.0.48,String
10.2.0.101,01 27 2022 14 00 00,vegeta,String,http,String,156464123.2,Double,13038.67694,Double,30037.16106,Double,55.971189,Double,36.52969126,String,0.80475,String,10.1.0.48,String
10.2.0.102,01 27 2022 13 55 00,vegeta,String,http,String,241436548.9,Double,20119.71241,Double,30029.90722,Double,57.123906,Double,30.37730563,String,0.65975,String,10.1.0.41,String
10.2.0.102,01 27 2022 14 00 00,vegeta,String,http,String,159167644.9,Double,13263.9704,Double,30021.21709,Double,55.09263,Double,36.56806183,String,0.808416667,String,10.1.0.41,String
10.2.0.103,01 27 2022 13 55 00,vegeta,String,http,String,241165873.4,Double,20097.15612,Double,30026.95931,Double,65.669026,Double,29.33234191,String,0.649333333,String,10.1.0.38,String
10.2.0.103,01 27 2022 14 00 00,vegeta,String,http,String,158999580,Double,13249.965,Double,30026.12593,Double,53.604591,Double,35.80250158,String,0.797083333,String,10.1.0.38,String
10.2.0.104,01 27 2022 13 55 00,vegeta,String,http,String,235421186.6,Double,19618.43222,Double,30029.46849,Double,68.417041,Double,30.30034207,String,0.662416667,String,10.1.0.43,String
