PartitionKey,RowKey,test_type,test_type@type,protocol,protocol@type,latency_total,latency_total@type,latency_mean,latency_mean@type,latency_max,latency_max@type,latency_min,latency_min@type,throughput,throughput@type,success,success@type,server,server@type
10.2.0.10,01 27 2022 14 30 00,vegeta,String,https,String,32583959.837579,Double,2715.329986,Double,30001.6225,Double,67.7632,Double,48.883739961615184,String,0.9995,String,10.1.0.120,String
10.2.0.10,01 27 2022 14 35 00,vegeta,String,https,String,10454955.747569,Double,871.246312,Double,20519.036974,Double,55.60682,Double,49.46725609897826,String,1,String,10.1.0.120,String
10.2.0.101,01 27 2022 14 30 00,vegeta,String,https,String,16158033.964117,Double,1346.50283,Double,30000.943633,Double,51.620121,Double,48.925070508245184,String,0.9999166666666667,String,10.1.0.88,String
10.2.0.101,01 27 2022 14 35 00,vegeta,String,https,String,5518878.48048,Double,459.90654,Double,12550.557371,Double,50.460676,Double,49.5764235593054,String,1,String,10.1.0.88,String
10.2.0.102,01 27 2022 14 30 00,vegeta,String,https,String,30467337.038936,Double,2538.944753,Double,30004.399046,Double,55.8298,Double,48.940160826924334,String,0.9998333333333334,String,10.1.0.97,String
10.2.0.102,01 27 2022 14 35 00,vegeta,String,https,String,10586524.810116,Double,882.2104,Double,30001.150607,Double,57.499043,Double,49.547881049564204,String,0.9999166666666667,String,10.1.0.97,String
10.2.0.103,01 27 2022 14 30 00,vegeta,String,https,String,100371785.768147,Double,8364.31548,Double,30038.435685,Double,63.6308,Double,48.07915025703776,String,0.9950833333333333,String,10.1.0.43,String
10.2.0.103,01 27 2022 14 35 00,vegeta,String,https,String,18262508.98612,Double,1521.875748,Double,30001.176874,Double,55.302176,Double,49.550103708884905,String,0.9999166666666667,String,10.1.0.43,String
10.2.0.104,01 27 2022 14 30 00,vegeta,String,https,String,14413645.342676,Double,1201.137111,Double,30000.353134,Double,52.429078,Double,48.89638357244114,String,0.9998333333333334,String,10.1.0.71,String
10.2.0.104,01 27 2022 14 35 00,vegeta,String,https,String,6356673.332246,Double,529.722777,Double,25745.944525,Double,50.230951,Double,49.48738808574946,String,1,String,10.1.0.71,String
10.2.0.105,01 27 2022 14 30 00,vegeta,String,https,String,12454294.174296,Double,1037.857847,Double,30002.3462,Double,52.535,Double,48.031232814526454,String,0.9998333333333334,String,10.1.0.7,String
10.2.0.105,01 27 2022 14 35 00,vegeta,String,https,String,6886229.019835,Double,573.852418,Double,30000.356484,Double,50.837689,Double,49.50593289141454,String,0.9998333333333334,String,10.1.0.7,String
10.2.0.106,01 27 2022 14 30 00,vegeta,String,https,String,69034532.846005,Double,5752.877737,Double,30007.847353,Double,61.1606,Double,48.49556074914675,String,0.99825,String,10.1.0.105,String
10.2.0.106,01 27 2022 14 35 00,vegeta,String,https,String,14038133.587182,Double,1169.844465,Double,20377.27696,Double,58.529133,Double,49.495039967616314,String,1,String,10.1.0.105,String
10.2.0.107,01 27 2022 14 30 00,vegeta,String,https,String,15787889.525209,Double,1315.65746,Double,30002.527501,Double,52.6519,Double,48.87219604352633,String,0.99975,String,10.1.0.5,String
10.2.0.107,01 27 2022 14 35 00,vegeta,String,https,String,7580969.517045,Double,631.747459,Double,20752.429148,Double,51.44476,Double,49.51899817826023,String,1,String,10.1.0.5,String
10.2.0.108,01 27 2022 14 30 00,vegeta,String,https,String,70858928.941145,Double,5904.910745,Double,30003.729408,Double,70.0754,Double,48.7795637459989,String,0.99825,String,10.1.0.116,String
10.2.0.108,01 27 2022 14 35 00,vegeta,String,https,String,10240952.424172,Double,853.412702,Double,24675.172381,Double,57.431889,Double,49.49316645184355,String,1,String,10.1.0.116,String
10.2.0.109,01 27 2022 14 30 00,vegeta,String,https,String,16941709.111281,Double,1411.809092,Double,26284.495505,Double,55.904182,Double,48.90291612219911,String,1,String,10.1.0.13,String
