PartitionKey,RowKey,test_type,test_type@type,protocol,protocol@type,latency_total,latency_total@type,latency_mean,latency_mean@type,latency_max,latency_max@type,latency_min,latency_min@type,throughput,throughput@type,success,success@type,server,server@type
10.2.0.10,01 28 2022 12 25 00,vegeta,String,https,String,345187560.070653,Double,28765.630005,Double,30035.831364,Double,67.68255,Double,4.310923711855349,String,0.09566666666666666,String,10.1.0.25,String
10.2.0.10,01 28 2022 12 30 00,vegeta,String,https,String,344361695.340369,Double,28696.807945,Double,30038.582285,Double,59.846101,Double,4.5041980588641275,String,0.0995,String,10.1.0.25,String
10.2.0.10,01 28 2022 12 35 00,vegeta,String,https,String,345157486.903545,Double,28763.123908,Double,30039.797304,Double,62.42097,Double,4.381408087078333,String,0.09733333333333333,String,10.1.0.25,String
10.2.0.11,01 28 2022 12 25 00,vegeta,String,https,String,344127435.289914,Double,28677.286274,Double,30037.676281,Double,63.381254,Double,4.49556594475151,String,0.09916666666666667,String,10.1.0.34,String
10.2.0.11,01 28 2022 12 30 00,vegeta,String,https,String,344994775.884604,Double,28749.564657,Double,30034.430769,Double,87.739511,Double,4.274286762739683,String,0.09441666666666666,String,10.1.0.34,String
10.2.0.11,01 28 2022 12 35 00,vegeta,String,https,String,345328788.057887,Double,28777.399004,Double,30036.222844,Double,68.792298,Double,4.2840806067206545,String,0.09458333333333334,String,10.1.0.34,String
10.2.0.12,01 28 2022 12 25 00,vegeta,String,https,String,344949685.328604,Double,28745.80711,Double,30042.479109,Double,74.477628,Double,4.362864535265089,String,0.09625,String,10.1.0.33,String
10.2.0.12,01 28 2022 12 30 00,vegeta,String,https,String,344604657.021365,Double,28717.054751,Double,30037.493738,Double,70.396077,Double,4.378884477168081,String,0.09725,String,10.1.0.33,String
10.2.0.12,01 28 2022 12 35 00,vegeta,String,https,String,344192601.813223,Double,28682.716817,Double,30035.195532,Double,64.362602,Double,4.524358800338212,String,0.09983333333333333,String,10.1.0.33,String
10.2.0.13,01 28 2022 12 25 00,vegeta,String,https,String,345940431.702724,Double,28828.369308,Double,30031.884304,Double,79.508099,Double,4.099947205005654,String,0.09133333333333334,String,10.1.0.5,String
10.2.0.13,01 28 2022 12 30 00,vegeta,String,https,String,345899610.028172,Double,28824.967502,Double,30037.017742,Double,74.51114,Double,4.153928744028369,String,0.09175,String,10.1.0.5,String
10.2.0.13,01 28 2022 12 35 00,vegeta,String,https,String,344864144.74557,Double,28738.678728,Double,30044.535393,Double,60.139227,Double,4.320183521860655,String,0.09533333333333334,String,10.1.0.5,String
10.2.0.14,01 28 2022 12 25 00,vegeta,String,https,String,344941555.524531,Double,28745.129627,Double,30038.724199,Double,74.764506,Double,4.308772366121231,String,0.09525,String,10.1.0.9,String
10.2.0.14,01 28 2022 12 30 00,vegeta,String,https,String,344858553.533406,Double,28738.212794,Double,30029.376293,Double,61.410131,Double,4.375855132526449,String,0.09666666666666666,String,10.1.0.9,String
10.2.0.14,01 28 2022 12 35 00,vegeta,String,https,String,345378604.529483,Double,28781.550377,Double,30026.211305,Double,65.75791,Double,4.259569309672257,String,0.094,String,10.1.0.9,String
10.2.0.15,01 28 2022 12 25 00,vegeta,String,https,String,344831506.303276,Double,28735.958858,Double,30037.890219,Double,59.806914,Double,4.3673834164306005,String,0.09633333333333334,String,10.1.0.38,String
10.2.0.15,01 28 2022 12 30 00,vegeta,String,https,String,345121836.251687,Double,28760.15302,Double,30038.889981,Double,85.167715,Double,4.326951295368388,String,0.09558333333333334,String,10.1.0.38,String
