PartitionKey,RowKey,test_type,test_type@type,protocol,protocol@type,latency_total,latency_total@type,latency_mean,latency_mean@type,latency_max,latency_max@type,latency_min,latency_min@type,throughput,throughput@type,success,success@type,server,server@type,sent_throughput,sent_throughput@type,received_throughput,received_throughput@type,max_rtt,max_rtt@type,min_rtt,min_rtt@type,mean_rtt,mean_rtt@type,duration,duration@type
10.2.0.10,01 28 2022 10 40 00,vegeta,String,http,String,357560050.7,Double,29796.67089,Double,30017.96767,Double,247.71055,Double,0.148197505,String,0.003333333,String,10.1.0.62,String,,,,,,,,,,,,
10.2.0.10,01 28 2022 10 45 00,vegeta,String,http,String,357835764,Double,29819.647,Double,30011.63407,Double,268.843406,Double,0.114831771,String,0.002583333,String,10.1.0.62,String,,,,,,,,,,,,
10.2.0.10,01 28 2022 10 50 00,vegeta,String,http,String,357781146.3,Double,29815.09552,Double,30018.94706,Double,176.159717,Double,0.10744346,String,0.002416667,String,10.1.0.62,String,,,,,,,,,,,,
10.2.0.10,01 28 2022 10 55 00,vegeta,String,http,String,357979885.4,Double,29831.65712,Double,30008.11651,Double,196.19846,Double,0.077795019,String,0.00175,String,10.1.0.62,String,,,,,,,,,,,,
10.2.0.10,01 28 2022 11 00 00,vegeta,String,http,String,358087966,Double,29840.66384,Double,30009.78208,Double,263.884541,Double,0.107455102,String,0.002416667,String,10.1.0.62,String,,,,,,,,,,,,
10.2.0.100,01 28 2022 10 40 00,vegeta,String,http,String,358353054.2,Double,29862.75452,Double,30016.60051,Double,230.556693,Double,0.10371131,String,0.002333333,String,10.1.0.79,String,,,,,,,,,,,,
10.2.0.100,01 28 2022 10 45 00,vegeta,String,http,String,357928101.9,Double,29827.34182,Double,30018.45527,Double,221.233443,Double,0.114841114,String,0.002583333,String,10.1.0.79,String,,,,,,,,,,,,
10.2.0.100,01 28 2022 10 50 00,vegeta,String,http,String,358535606.4,Double,29877.9672,Double,30017.52401,Double,282.563227,Double,0.118536614,String,0.002666667,String,10.1.0.79,String,,,,,,,,,,,,
10.2.0.100,01 28 2022 10 55 00,vegeta,String,http,String,358061175.9,Double,29838.43133,Double,30015.09893,Double,232.058406,Double,0.088915179,String,0.002,String,10.1.0.79,String,,,,,,,,,,,,
10.2.0.100,01 28 2022 11 00 00,vegeta,String,http,String,357724349.3,Double,29810.36244,Double,30012.23744,Double,251.330693,Double,0.144471959,String,0.00325,String,10.1.0.79,String,,,,,,,,,,,,
