PartitionKey,RowKey,test_type,test_type@type,protocol,protocol@type,latency_total,latency_total@type,latency_mean,latency_mean@type,latency_max,latency_max@type,latency_min,latency_min@type,throughput,throughput@type,success,success@type,server,server@type
10.2.0.10,01 28 2022 11 50 00,vegeta,String,https,String,355755535.5,Double,29646.29462,Double,30025.9272,Double,61.8089,Double,0.107423219,String,0.002416667,String,10.1.0.72,String
10.2.0.10,01 28 2022 11 55 00,vegeta,String,https,String,357070278.6,Double,29755.85655,Double,30028.9927,Double,405.809752,Double,0.118530241,String,0.002666667,String,10.1.0.72,String
10.2.0.10,01 28 2022 12 00 00,vegeta,String,https,String,357548146.2,Double,29795.67885,Double,30028.21055,Double,426.115232,Double,0.107484205,String,0.002416667,String,10.1.0.72,String
10.2.0.100,01 28 2022 11 50 00,vegeta,String,https,String,356682814.7,Double,29723.56789,Double,30026.3225,Double,126.9148,Double,0.114823254,String,0.002583333,String,10.1.0.69,String
10.2.0.100,01 28 2022 11 55 00,vegeta,String,https,String,356932246.7,Double,29744.35389,Double,30029.80758,Double,90.787898,Double,0.122284265,String,0.00275,String,10.1.0.69,String
10.2.0.100,01 28 2022 12 00 00,vegeta,String,https,String,358041844.5,Double,29836.82037,Double,30023.64198,Double,89.044527,Double,0.125958685,String,0.002833333,String,10.1.0.69,String
10.2.0.101,01 28 2022 11 50 00,vegeta,String,https,String,356068730.9,Double,29672.39424,Double,30032.535,Double,210.1654,Double,0.096317658,String,0.002166667,String,10.1.0.25,String
10.2.0.101,01 28 2022 11 55 00,vegeta,String,https,String,356186360.9,Double,29682.19674,Double,30025.77155,Double,69.595163,Double,0.103726614,String,0.002333333,String,10.1.0.25,String
10.2.0.101,01 28 2022 12 00 00,vegeta,String,https,String,356889982.5,Double,29740.83187,Double,30023.40406,Double,418.318774,Double,0.100026885,String,0.00225,String,10.1.0.25,String
10.2.0.102,01 28 2022 11 50 00,vegeta,String,https,String,356086393.2,Double,29673.8661,Double,30028.03834,Double,99.1039,Double,0.066671537,String,0.0015,String,10.1.0.113,String
10.2.0.102,01 28 2022 11 55 00,vegeta,String,https,String,356850502.1,Double,29737.54184,Double,30028.49344,Double,93.412185,Double,0.092619949,String,0.002083333,String,10.1.0.113,String
10.2.0.102,01 28 2022 12 00 00,vegeta,String,https,String,357488303.2,Double,29790.69193,Double,30027.59773,Double,392.198178,Double,0.103726636,String,0.002333333,String,10.1.0.113,String
10.2.0.103,01 28 2022 11 50 00,vegeta,String,https,String,356307507.4,Double,29692.29229,Double,30027.0434,Double,382.489594,Double,0.074090472,String,0.001666667,String,10.1.0.95,String
10.2.0.103,01 28 2022 11 55 00,vegeta,String,https,String,356917287.6,Double,29743.1073,Double,30026.32126,Double,401.186515,Double,0.107431085,String,0.002416667,String,10.1.0.95,String
10.2.0.103,01 28 2022 12 00 00,vegeta,String,https,String,356481315.2,Double,29706.77626,Double,30029.41433,Double,89.08261,Double,0.148178403,String,0.003333333,String,10.1.0.95,String
10.2.0.105,01 28 2022 11 50 00,vegeta,String,https,String,355454573.6,Double,29621.21447,Double,30028.65217,Double,418.566704,Double,0.077783417,String,0.00175,String,10.1.0.107,String
10.2.0.105,01 28 2022 11 55 00,vegeta,String,https,String,356570923.2,Double,29714.2436,Double,30019.19363,Double,148.76051,Double,0.100031325,String,0.00225,String,10.1.0.107,String
