PartitionKey,RowKey,test_type,test_type@type,protocol,protocol@type,latency_total,latency_total@type,latency_mean,latency_mean@type,latency_max,latency_max@type,latency_min,latency_min@type,throughput,throughput@type,success,success@type,server,server@type
10.2.0.100,01 24 2022 09 25 00,vegeta,String,http,String,1632512.481,Double,136.042706,Double,5314.661348,Double,50.017089,Double,49.83076146,String,1,String,10.1.0.18,String
10.2.0.101,01 24 2022 09 25 00,vegeta,String,http,String,1257176.074,Double,104.764672,Double,3641.281952,Double,46.278536,Double,49.97755474,String,1,String,10.1.0.137,String
10.2.0.102,01 24 2022 09 25 00,vegeta,String,http,String,3635820.136,Double,302.985011,Double,6931.505902,Double,60.1311,Double,49.88476538,String,1,String,10.1.0.118,String
10.2.0.103,01 24 2022 09 25 00,vegeta,String,http,String,1635018.334,Double,136.251527,Double,16795.66508,Double,48.452296,Double,49.87984805,String,1,String,10.1.0.100,String
10.2.0.104,01 24 2022 09 25 00,vegeta,String,http,String,1480815.945,Double,123.401328,Double,13291.592,Double,49.460342,Double,49.86273327,String,1,String,10.1.0.127,String
10.2.0.105,01 24 2022 09 25 00,vegeta,String,http,String,3267315.991,Double,272.276332,Double,4788.189695,Double,59.1532,Double,49.92216052,String,1,String,10.1.0.119,String
10.2.0.106,01 24 2022 09 25 00,vegeta,String,http,String,1470133.913,Double,122.511159,Double,5069.106372,Double,49.4827,Double,49.8871634,String,1,String,10.1.0.114,String
10.2.0.107,01 24 2022 09 25 00,vegeta,String,http,String,3414839.838,Double,284.569986,Double,5823.5736,Double,60.3225,Double,49.55443097,String,1,String,10.1.0.105,String
10.2.0.108,01 24 2022 09 25 00,vegeta,String,http,String,2041278.405,Double,170.106533,Double,12632.18203,Double,48.375511,Double,49.82861098,String,1,String,10.1.0.97,String
10.2.0.109,01 24 2022 09 25 00,vegeta,String,http,String,4818161.792,Double,401.513482,Double,4721.781856,Double,58.0067,Double,49.91992793,String,1,String,10.1.0.109,String
10.2.0.11,01 24 2022 09 25 00,vegeta,String,http,String,2005977.328,Double,167.164777,Double,5988.609309,Double,50.508746,Double,49.82302183,String,1,String,10.1.0.89,String
10.2.0.110,01 24 2022 09 25 00,vegeta,String,http,String,1652423.35,Double,137.701945,Double,5442.065638,Double,49.209913,Double,49.8979477,String,1,String,10.1.0.82,String
10.2.0.111,01 24 2022 09 25 00,vegeta,String,http,String,3208115.607,Double,267.342967,Double,10882.40975,Double,51.1435,Double,49.83433752,String,1,String,10.1.0.115,String
10.2.0.112,01 24 2022 09 25 00,vegeta,String,http,String,1514292.182,Double,126.191015,Double,18588.65722,Double,48.13312,Double,49.89676844,String,1,String,10.1.0.33,String
10.2.0.113,01 24 2022 09 25 00,vegeta,String,http,String,1654676.053,Double,137.889671,Double,8427.427551,Double,48.6179,Double,49.87862123,String,1,String,10.1.0.101,String
10.2.0.114,01 24 2022 09 25 00,vegeta,String,http,String,4214231.226,Double,351.185935,Double,9070.090601,Double,57.0583,Double,49.93600697,String,1,String,10.1.0.107,String
10.2.0.115,01 24 2022 09 25 00,vegeta,String,http,String,2271391.962,Double,189.282663,Double,3463.880056,Double,50.6989,Double,49.90824675,String,1,String,10.1.0.29,String
10.2.0.116,01 24 2022 09 25 00,vegeta,String,http,String,2909704.667,Double,242.475388,Double,2759.718232,Double,56.4658,Double,49.91272758,String,1,String,10.1.0.113,String
10.2.0.117,01 24 2022 09 25 00,vegeta,String,http,String,1319714.193,Double,109.976182,Double,3990.649769,Double,49.388,Double,49.86484962,String,1,String,10.1.0.94,String
10.2.0.118,01 24 2022 09 25 00,vegeta,String,http,String,1663899.706,Double,138.658308,Double,7540.482893,Double,49.634,Double,49.88299094,String,1,String,10.1.0.135,String
10.2.0.118,01 24 2022 09 30 00,vegeta,String,http,String,61526451.46,Double,5127.204288,Double,30000.65593,Double,0.060402,Double,14.61543094,String,0.312916667,String,10.1.0.135,String
10.2.0.119,01 24 2022 09 25 00,vegeta,String,http,String,1483170.504,Double,123.597541,Double,1160.294873,Double,49.4731,Double,49.90528335,String,1,String,10.1.0.51,String
10.2.0.12,01 24 2022 09 25 00,vegeta,String,http,String,3533110.505,Double,294.425875,Double,3288.737,Double,54.9219,Double,49.89749887,String,1,String,10.1.0.106,String
10.2.0.120,01 24 2022 09 25 00,vegeta,String,http,String,1460491.887,Double,121.707657,Double,4166.53839,Double,48.286501,Double,49.96427594,String,1,String,10.1.0.96,String
