PartitionKey,RowKey,test_type,test_type@type,protocol,protocol@type,latency_total,latency_total@type,latency_mean,latency_mean@type,latency_max,latency_max@type,latency_min,latency_min@type,throughput,throughput@type,success,success@type,server,server@type
10.2.0.10,01 24 2022 14 30 00,vegeta,String,https,String,1225604.2959,Double,102.133691,Double,8255.9181,Double,50.4151,Double,49.41610771317947,String,1,String,10.1.0.72,String
10.2.0.10,01 24 2022 14 35 00,vegeta,String,https,String,1736365.247989,Double,144.697103,Double,30000.668134,Double,50.238995,Double,49.547411485890294,String,0.9998333333333334,String,10.1.0.72,String
10.2.0.100,01 24 2022 14 35 00,vegeta,String,https,String,2328627.965663,Double,194.05233,Double,30008.885178,Double,50.357831,Double,49.660480133490765,String,0.9999166666666667,String,10.1.0.73,String
10.2.0.102,01 24 2022 14 30 00,vegeta,String,https,String,1241812.552382,Double,103.484379,Double,9972.196261,Double,50.121968,Double,49.53136076720717,String,1,String,10.1.0.130,String
10.2.0.102,01 24 2022 14 35 00,vegeta,String,https,String,8431060.962911,Double,702.588413,Double,30001.48028,Double,54.796159,Double,49.58704642205735,String,0.9999166666666667,String,10.1.0.130,String
10.2.0.103,01 24 2022 14 30 00,vegeta,String,https,String,1305669.321061,Double,108.805776,Double,10713.122,Double,50.247662,Double,49.61509298404132,String,1,String,10.1.0.131,String
10.2.0.103,01 24 2022 14 35 00,vegeta,String,https,String,2333872.062853,Double,194.489338,Double,30000.649559,Double,50.227171,Double,49.564912157386644,String,0.99975,String,10.1.0.131,String
10.2.0.104,01 24 2022 14 30 00,vegeta,String,https,String,1275887.601227,Double,106.323966,Double,4629.122888,Double,50.1273,Double,49.611568111880764,String,1,String,10.1.0.132,String
10.2.0.104,01 24 2022 14 35 00,vegeta,String,https,String,1683646.110352,Double,140.303842,Double,8917.991196,Double,49.968822,Double,49.86194398738424,String,1,String,10.1.0.132,String
10.2.0.105,01 24 2022 14 35 00,vegeta,String,https,String,23430794.328862,Double,1952.566194,Double,30000.94815,Double,52.690005,Double,49.55148638127354,String,0.9995833333333334,String,10.1.0.133,String
